t,v
0,8444.21851525048
1,7579.544029403025
2,4205.71580830845
3,2589.1675029296334
4,5112.747213686085
5,4049.341374504143
6,7837.985890347726
7,3033.1272607892747
8,4765.969541523558
9,5833.820394550312
10,9081.128851953352
11,5046.868558173903
12,2818.378443997038
13,7558.042041572239
14,6183.689966753316
15,2505.0634136244053
16,9097.4625596824
17,9827.854760376531
18,8102.172359965895
19,9021.659504395828
20,3101.475693193326
21,7298.317482601286
22,8988.382879679935
23,6839.839319154413
24,4721.427154527134
25,1007.012080683658
26,4341.718354537837
27,6108.869734438016
28,9130.110532378982
29,9666.063677707589
30,4770.09776552717
31,8653.099277716401
32,2604.9231039195943
33,8050.278270130223
34,5486.993038355893
35,140.41700164018954
36,7197.046864039541
37,3988.2354222426875
38,8248.44977148233
39,6681.532012318508
40,11.428193144282783
41,4935.778664653247
42,8676.027754927809
43,2439.1087688713196
44,3252.0436274739004
45,8704.712321086547
46,1910.6709150239053
47,5675.107406206718
48,2386.1592861522017
49,9675.402502901434
50,8031.7946927987
51,4479.695714355704
52,804.4581855253541
53,3200.5460467254575
54,5079.406425205739
55,9328.338242269068
56,1090.5784593110368
57,5512.672460905512
58,7065.614098668896
59,5474.409113284238
60,8144.66863291336
61,5402.836069703239
62,9638.385459738009
63,6031.856279613829
64,5876.170641754364
65,4449.8902627551615
66,5962.868615831063
67,3849.0114597266047
68,5756.510141648885
69,2903.29502402758
70,1893.9132855435614
71,1867.295282555551
72,6127.731798686067
73,6566.593889896289
74,4765.309920093808
75,898.2436119559367
76,7576.039219664368
77,8767.703708227747
78,9233.810159462806
79,8424.602231401825
80,8981.731213578789
81,9230.824398201768
82,5405.999249480545
83,3912.9605023462486
84,7052.8339985440625
85,2756.3412131212717
86,8116.287085078785
87,8494.859651863671
88,8950.389674266753
89,5898.011835311599
90,9497.648732321206
91,5796.950107456059
92,4505.631066311552
93,6602.453786223889
94,9962.578393535727
95,9169.41217947456
96,7933.2508413022415
97,823.729881966474
98,6127.831050407122
99,4864.442019691668
100,6301.473404114728
101,8450.775756715151
102,2430.3562206185625
103,7314.892207908478
104,1171.3429320851799
105,2204.6053686782852
106,7945.829717105759
107,3325.3614921965545
108,8159.130965336595
109,1006.075202160962
110,1463.5848891230385
111,6976.706401912388
112,452.3406786561235
113,5738.660367891669
114,9100.160146990396
115,5341.97968260724
116,6805.891325622565
117,266.967946622052
118,6349.999099114582
119,6063.38417754219
120,5759.529480315407
121,3912.094093228269
122,3701.3994033518748
123,9805.166506472688
124,363.92037611485796
125,216.3650985502408
126,9610.31280239611
127,1849.7194139743833
128,1238.951644244317
129,2105.7650988664645
130,8007.465903541809
131,9369.691586445808
132,227.8257566865838
133,4256.188319668172
134,1015.0021937416975
135,2599.1988979283196
136,2208.2927131631736
137,6469.257198353225
138,3502.939673965323
139,1803.1790152968786
140,5036.365052098872
141,393.78707084692377
142,1009.2124118896661
143,9882.35148722501
144,1993.5579046706298
145,3585.5530131160185
146,7315.983062253606
147,8383.265651934164
148,9184.820619953314
149,1694.2460609746768
150,6726.405635730525
151,9665.489030431832
152,580.5094382649867
153,6762.017842993782
154,8454.245937016163
155,3423.12541078584
156,2506.8733928511165
157,5967.91393469411
158,4423.140336990789
159,1748.1948445144112
160,4716.25415096288
161,4099.053956575545
162,5691.127395242802
163,5086.001300626332
164,3114.460010002068
165,3571.5168259026286
166,8376.61174368979
167,2509.3266482213703
168,5606.00218853524
169,124.36318829314396
170,7415.743774106636
171,3359.1655447346056
172,456.9649356841665
173,2808.8316421834825
174,2401.30407826354
175,9531.293398277989
176,3522.2556151550743
177,2878.779148564
178,3592.0119725374634
179,9469.058356578911
180,6337.478522492525
181,6210.768456186673
182,7156.193503014563
183,3880.1723531250564
184,4144.179882772473
185,6508.32862263345
186,15.24221856720187
187,1923.095412446758
188,3344.016906625016
189,2394.1596018595856
190,6373.994011293003
191,3786.4807032309445
192,8754.233917130172
193,5681.514209101919
194,4144.063966836443
195,4022.6707511907957
196,7018.296239336754
197,4182.265532924661
198,6621.958889738175
199,467.79685956798266
200,4453.521897188299
201,2592.2692344722277
202,1576.8657212231085
203,5275.731301676146
204,4872.656010690321
205,5614.049256144269
206,7554.847672586825
207,8838.751542487009
208,4945.826703752868
209,3120.5824641687295
210,4668.922353525236
211,8090.458573603624
212,8750.163314802712
213,8124.149323637591
214,1880.0129405082798
215,9994.203594553304
216,6330.887599183004
217,834.6705017572931
218,7255.543554613124
219,9868.214802051281
220,4018.1682221254355
221,6785.150052419683
222,3161.771372213423
223,2135.246620646961
224,7173.241433110372
225,23.575647193538884
226,8227.314105314157
227,5283.459768597928
228,977.8434180065931
229,1189.0389478474583
230,6492.654248961536
231,8736.538239003423
232,2799.8274332687256
233,9785.15186773398
234,1001.8068906370903
235,8539.381095973382
236,3966.9617733090445
237,813.4541676823414
238,2747.138434192621
239,4529.781848179143
240,7923.415311856522
241,8613.599036372361
242,1334.2055420254906
243,5208.655284141989
244,6507.832381497373
245,3470.5301459960147
246,8718.638357105861
247,2784.0981521636054
248,185.74327545595182
249,406.63273675260905
250,6809.967701112432
251,5583.557360970469
252,9465.025541699959
253,9384.387997349186
254,9098.511774051025
255,420.04531967341217
256,7491.348233908631
257,7013.248175948596
258,6553.618646747295
259,7123.576525162417
260,9027.101506193307
261,6401.411997932241
262,3724.49262972256
263,5379.287837318205
264,2078.4410369082475
265,5871.255046951434
266,88.97082049078797
267,1510.231738639878
268,3334.0838802986636
269,7896.231589257826
270,7184.994227715396
271,3382.5597002667864
272,6205.381083165516
273,412.02949506209285
274,1638.6054567557596
275,9819.140701253054
276,2895.3085363586697
