t,v
0,60000
1,59999
2,59998
3,59997
4,59996
5,59995
6,59994
7,59993
8,59992
9,59991
10,59990
11,59989
12,59988
13,59987
14,59986
15,59985
16,59984
17,59983
18,59982
19,59981
20,59980
21,59979
22,59978
23,59977
24,59976
25,59975
26,59974
27,59973
28,59972
29,59971
30,59970
31,59969
32,59968
33,59967
34,59966
35,59965
36,59964
37,59963
38,59962
39,59961
40,59960
41,59959
42,59958
43,59957
44,59956
45,59955
46,59954
47,59953
48,59952
49,59951
50,59950
51,59949
52,59948
53,59947
54,59946
55,59945
56,59944
57,59943
58,59942
59,59941
60,59940
61,59939
62,59938
63,59937
64,59936
65,59935
66,59934
67,59933
68,59932
69,59931
70,59930
71,59929
72,59928
73,59927
74,59926
75,59925
76,59924
77,59923
78,59922
79,59921
80,59920
81,59919
82,59918
83,59917
84,59916
85,59915
86,59914
87,59913
88,59912
89,59911
90,59910
91,59909
92,59908
93,59907
94,59906
95,59905
96,59904
97,59903
98,59902
99,59901
100,59900
101,59899
102,59898
103,59897
104,59896
105,59895
106,59894
107,59893
108,59892
109,59891
110,59890
111,59889
112,59888
113,59887
114,59886
115,59885
116,59884
117,59883
118,59882
119,59881
120,59880
121,59879
122,59878
123,59877
124,59876
125,59875
126,59874
127,59873
128,59872
129,59871
130,59870
131,59869
132,59868
133,59867
134,59866
135,59865
136,59864
137,59863
138,59862
139,59861
140,59860
141,59859
142,59858
143,59857
144,59856
145,59855
146,59854
147,59853
148,59852
149,59851
150,59850
151,59849
152,59848
153,59847
154,59846
155,59845
156,59844
157,59843
158,59842
159,59841
160,59840
161,59839
162,59838
163,59837
164,59836
165,59835
166,59834
167,59833
168,59832
169,59831
170,59830
171,59829
172,59828
173,59827
174,59826
175,59825
176,59824
177,59823
178,59822
179,59821
180,59820
181,59819
182,59818
183,59817
184,59816
185,59815
186,59814
187,59813
188,59812
189,59811
190,59810
191,59809
192,59808
193,59807
194,59806
195,59805
196,59804
197,59803
198,59802
199,59801
200,59800
201,59799
202,59798
203,59797
204,59796
205,59795
206,59794
207,59793
208,59792
209,59791
210,59790
211,59789
212,59788
213,59787
214,59786
215,59785
216,59784
217,59783
218,59782
219,59781
220,59780
221,59779
222,59778
223,59777
224,59776
225,59775
226,59774
227,59773
228,59772
229,59771
230,59770
231,59769
232,59768
233,59767
234,59766
235,59765
236,59764
237,59763
238,59762
239,59761
240,59760
241,59759
242,59758
243,59757
244,59756
245,59755
246,59754
247,59753
248,59752
249,59751
250,59750
251,59749
252,59748
253,59747
254,59746
255,59745
256,59744
257,59743
258,59742
259,59741
260,59740
261,59739
262,59738
263,59737
264,59736
265,59735
266,59734
267,59733
268,59732
269,59731
270,59730
271,59729
272,59728
273,59727
274,59726
275,59725
276,59724
277,59723
278,59722
279,59721
280,59720
281,59719
282,59718
283,59717
284,59716
285,59715
286,59714
287,59713
288,59712
289,59711
290,59710
291,59709
292,59708
293,59707
294,59706
295,59705
296,59704
297,59703
298,59702
299,59701
300,59700
301,59699
302,59698
303,59697
304,59696
305,59695
306,59694
307,59693
308,59692
309,59691
310,59690
311,59689
312,59688
313,59687
314,59686
315,59685
316,59684
317,59683
318,59682
319,59681
320,59680
321,59679
322,59678
323,59677
324,59676
325,59675
326,59674
327,59673
328,59672
329,59671
330,59670
331,59669
332,59668
333,59667
334,59666
335,59665
336,59664
337,59663
338,59662
339,59661
340,59660
341,59659
342,59658
343,59657
344,59656
345,59655
346,59654
347,59653
348,59652
349,59651
350,59650
351,59649
352,59648
353,59647
354,59646
355,59645
356,59644
357,59643
358,59642
359,59641
360,59640
361,59639
362,59638
363,59637
364,59636
365,59635
366,59634
367,59633
368,59632
369,59631
370,59630
371,59629
372,59628
373,59627
374,59626
375,59625
376,59624
377,59623
378,59622
379,59621
380,59620
381,59619
382,59618
383,59617
384,59616
385,59615
386,59614
387,59613
388,59612
389,59611
390,59610
391,59609
392,59608
393,59607
394,59606
395,59605
396,59604
397,59603
398,59602
399,59601
400,59600
401,59599
402,59598
403,59597
404,59596
405,59595
406,59594
407,59593
408,59592
409,59591
410,59590
411,59589
412,59588
413,59587
414,59586
415,59585
416,59584
417,59583
418,59582
419,59581
420,59580
421,59579
422,59578
423,59577
424,59576
425,59575
426,59574
427,59573
428,59572
429,59571
430,59570
431,59569
432,59568
433,59567
434,59566
435,59565
436,59564
437,59563
438,59562
439,59561
440,59560
441,59559
442,59558
443,59557
444,59556
445,59555
446,59554
447,59553
448,59552
449,59551
450,59550
451,59549
452,59548
453,59547
454,59546
455,59545
456,59544
457,59543
458,59542
459,59541
460,59540
461,59539
462,59538
463,59537
464,59536
465,59535
466,59534
467,59533
468,59532
469,59531
470,59530
471,59529
472,59528
473,59527
474,59526
475,59525
476,59524
477,59523
478,59522
479,59521
480,59520
481,59519
482,59518
483,59517
484,59516
485,59515
486,59514
487,59513
488,59512
489,59511
490,59510
491,59509
492,59508
493,59507
494,59506
495,59505
496,59504
497,59503
498,59502
499,59501
500,59500
501,59499
502,59498
503,59497
504,59496
505,59495
506,59494
507,59493
508,59492
509,59491
510,59490
511,59489
512,59488
513,59487
514,59486
515,59485
516,59484
517,59483
518,59482
519,59481
520,59480
521,59479
522,59478
523,59477
524,59476
525,59475
526,59474
527,59473
528,59472
529,59471
530,59470
531,59469
532,59468
533,59467
534,59466
535,59465
536,59464
537,59463
538,59462
539,59461
540,59460
541,59459
542,59458
543,59457
544,59456
545,59455
546,59454
547,59453
548,59452
549,59451
550,59450
551,59449
552,59448
553,59447
554,59446
555,59445
556,59444
557,59443
558,59442
559,59441
560,59440
561,59439
562,59438
563,59437
564,59436
565,59435
566,59434
567,59433
568,59432
569,59431
570,59430
571,59429
572,59428
573,59427
574,59426
575,59425
576,59424
577,59423
578,59422
579,59421
580,59420
581,59419
582,59418
583,59417
584,59416
585,59415
586,59414
587,59413
588,59412
589,59411
590,59410
591,59409
592,59408
593,59407
594,59406
595,59405
596,59404
597,59403
598,59402
599,59401
600,59400
601,59399
602,59398
603,59397
604,59396
605,59395
606,59394
607,59393
608,59392
609,59391
610,59390
611,59389
612,59388
613,59387
614,59386
615,59385
616,59384
617,59383
618,59382
619,59381
620,59380
621,59379
622,59378
623,59377
624,59376
625,59375
626,59374
627,59373
628,59372
629,59371
630,59370
631,59369
632,59368
633,59367
634,59366
635,59365
636,59364
637,59363
638,59362
639,59361
640,59360
641,59359
642,59358
643,59357
644,59356
645,59355
646,59354
647,59353
648,59352
649,59351
650,59350
651,59349
652,59348
653,59347
654,59346
655,59345
656,59344
657,59343
658,59342
659,59341
660,59340
661,59339
662,59338
663,59337
664,59336
665,59335
666,59334
667,59333
668,59332
669,59331
670,59330
671,59329
672,59328
673,59327
674,59326
675,59325
676,59324
677,59323
678,59322
679,59321
680,59320
681,59319
682,59318
683,59317
684,59316
685,59315
686,59314
687,59313
688,59312
689,59311
690,59310
691,59309
692,59308
693,59307
694,59306
695,59305
696,59304
697,59303
698,59302
699,59301
700,59300
701,59299
702,59298
703,59297
704,59296
705,59295
706,59294
707,59293
708,59292
709,59291
710,59290
711,59289
712,59288
713,59287
714,59286
715,59285
716,59284
717,59283
718,59282
719,59281
720,59280
721,59279
722,59278
723,59277
724,59276
725,59275
726,59274
727,59273
728,59272
729,59271
730,59270
731,59269
732,59268
733,59267
734,59266
735,59265
736,59264
737,59263
738,59262
739,59261
740,59260
741,59259
742,59258
743,59257
744,59256
745,59255
746,59254
747,59253
748,59252
749,59251
750,59250
751,59249
752,59248
753,59247
754,59246
755,59245
756,59244
757,59243
758,59242
759,59241
760,59240
761,59239
762,59238
763,59237
764,59236
765,59235
766,59234
767,59233
768,59232
769,59231
770,59230
771,59229
772,59228
773,59227
774,59226
775,59225
776,59224
777,59223
778,59222
779,59221
780,59220
781,59219
782,59218
783,59217
784,59216
785,59215
786,59214
787,59213
788,59212
789,59211
790,59210
791,59209
792,59208
793,59207
794,59206
795,59205
796,59204
797,59203
798,59202
799,59201
800,59200
801,59199
802,59198
803,59197
804,59196
805,59195
806,59194
807,59193
808,59192
809,59191
810,59190
811,59189
812,59188
813,59187
814,59186
815,59185
816,59184
817,59183
818,59182
819,59181
820,59180
821,59179
822,59178
823,59177
824,59176
825,59175
826,59174
827,59173
828,59172
829,59171
830,59170
831,59169
832,59168
833,59167
834,59166
835,59165
836,59164
837,59163
838,59162
839,59161
840,59160
841,59159
842,59158
843,59157
844,59156
845,59155
846,59154
847,59153
848,59152
849,59151
850,59150
851,59149
852,59148
853,59147
854,59146
855,59145
856,59144
857,59143
858,59142
859,59141
860,59140
861,59139
862,59138
863,59137
864,59136
865,59135
866,59134
867,59133
868,59132
869,59131
870,59130
871,59129
872,59128
873,59127
874,59126
875,59125
876,59124
877,59123
878,59122
879,59121
880,59120
881,59119
882,59118
883,59117
884,59116
885,59115
886,59114
887,59113
888,59112
889,59111
890,59110
891,59109
892,59108
893,59107
894,59106
895,59105
896,59104
897,59103
898,59102
899,59101
900,59100
901,59099
902,59098
903,59097
904,59096
905,59095
906,59094
907,59093
908,59092
909,59091
910,59090
911,59089
912,59088
913,59087
914,59086
915,59085
916,59084
917,59083
918,59082
919,59081
920,59080
921,59079
922,59078
923,59077
924,59076
925,59075
926,59074
927,59073
928,59072
929,59071
930,59070
931,59069
932,59068
933,59067
934,59066
935,59065
936,59064
937,59063
938,59062
939,59061
940,59060
941,59059
942,59058
943,59057
944,59056
945,59055
946,59054
947,59053
948,59052
949,59051
950,59050
951,59049
952,59048
953,59047
954,59046
955,59045
956,59044
957,59043
958,59042
959,59041
960,59040
961,59039
962,59038
963,59037
964,59036
965,59035
966,59034
967,59033
968,59032
969,59031
970,59030
971,59029
972,59028
973,59027
974,59026
975,59025
976,59024
977,59023
978,59022
979,59021
980,59020
981,59019
982,59018
983,59017
984,59016
985,59015
986,59014
987,59013
988,59012
989,59011
990,59010
991,59009
992,59008
993,59007
994,59006
995,59005
996,59004
997,59003
998,59002
999,59001
1000,59000
1001,58999
1002,58998
1003,58997
1004,58996
1005,58995
1006,58994
1007,58993
1008,58992
1009,58991
1010,58990
1011,58989
1012,58988
1013,58987
1014,58986
1015,58985
1016,58984
1017,58983
1018,58982
1019,58981
1020,58980
1021,58979
1022,58978
1023,58977
1024,58976
1025,58975
1026,58974
1027,58973
1028,58972
1029,58971
1030,58970
1031,58969
1032,58968
1033,58967
1034,58966
1035,58965
1036,58964
1037,58963
1038,58962
1039,58961
1040,58960
1041,58959
1042,58958
1043,58957
1044,58956
1045,58955
1046,58954
1047,58953
1048,58952
1049,58951
1050,58950
1051,58949
1052,58948
1053,58947
1054,58946
1055,58945
1056,58944
1057,58943
1058,58942
1059,58941
1060,58940
1061,58939
1062,58938
1063,58937
1064,58936
1065,58935
1066,58934
1067,58933
1068,58932
1069,58931
1070,58930
1071,58929
1072,58928
1073,58927
1074,58926
1075,58925
1076,58924
1077,58923
1078,58922
1079,58921
1080,58920
1081,58919
1082,58918
1083,58917
1084,58916
1085,58915
1086,58914
1087,58913
1088,58912
1089,58911
1090,58910
1091,58909
1092,58908
1093,58907
1094,58906
1095,58905
1096,58904
1097,58903
1098,58902
1099,58901
1100,58900
1101,58899
1102,58898
1103,58897
1104,58896
1105,58895
1106,58894
1107,58893
1108,58892
1109,58891
1110,58890
1111,58889
1112,58888
1113,58887
1114,58886
1115,58885
1116,58884
1117,58883
1118,58882
1119,58881
1120,58880
1121,58879
1122,58878
1123,58877
1124,58876
1125,58875
1126,58874
1127,58873
1128,58872
1129,58871
1130,58870
1131,58869
1132,58868
1133,58867
1134,58866
1135,58865
1136,58864
1137,58863
1138,58862
1139,58861
1140,58860
1141,58859
1142,58858
1143,58857
1144,58856
1145,58855
1146,58854
1147,58853
1148,58852
1149,58851
1150,58850
1151,58849
1152,58848
1153,58847
1154,58846
1155,58845
1156,58844
1157,58843
1158,58842
1159,58841
1160,58840
1161,58839
1162,58838
1163,58837
1164,58836
1165,58835
1166,58834
1167,58833
1168,58832
1169,58831
1170,58830
1171,58829
1172,58828
1173,58827
1174,58826
1175,58825
1176,58824
1177,58823
1178,58822
1179,58821
1180,58820
1181,58819
1182,58818
1183,58817
1184,58816
1185,58815
1186,58814
1187,58813
1188,58812
1189,58811
1190,58810
1191,58809
1192,58808
1193,58807
1194,58806
1195,58805
1196,58804
1197,58803
1198,58802
1199,58801
1200,58800
1201,58799
1202,58798
1203,58797
1204,58796
1205,58795
1206,58794
1207,58793
1208,58792
1209,58791
1210,58790
1211,58789
1212,58788
1213,58787
1214,58786
1215,58785
1216,58784
1217,58783
1218,58782
1219,58781
1220,58780
1221,58779
1222,58778
1223,58777
1224,58776
1225,58775
1226,58774
1227,58773
1228,58772
1229,58771
1230,58770
1231,58769
1232,58768
1233,58767
1234,58766
1235,58765
1236,58764
1237,58763
1238,58762
1239,58761
1240,58760
1241,58759
1242,58758
1243,58757
1244,58756
1245,58755
1246,58754
1247,58753
1248,58752
1249,58751
1250,58750
1251,58749
1252,58748
1253,58747
1254,58746
1255,58745
1256,58744
1257,58743
1258,58742
1259,58741
1260,58740
1261,58739
1262,58738
1263,58737
1264,58736
1265,58735
1266,58734
1267,58733
1268,58732
1269,58731
1270,58730
1271,58729
1272,58728
1273,58727
1274,58726
1275,58725
1276,58724
1277,58723
1278,58722
1279,58721
1280,58720
1281,58719
1282,58718
1283,58717
1284,58716
1285,58715
1286,58714
1287,58713
1288,58712
1289,58711
1290,58710
1291,58709
1292,58708
1293,58707
1294,58706
1295,58705
1296,58704
1297,58703
1298,58702
1299,58701
1300,58700
1301,58699
1302,58698
1303,58697
1304,58696
1305,58695
1306,58694
1307,58693
1308,58692
1309,58691
1310,58690
1311,58689
1312,58688
1313,58687
1314,58686
1315,58685
1316,58684
1317,58683
1318,58682
1319,58681
1320,58680
1321,58679
1322,58678
1323,58677
1324,58676
1325,58675
1326,58674
1327,58673
1328,58672
1329,58671
1330,58670
1331,58669
1332,58668
1333,58667
1334,58666
1335,58665
1336,58664
1337,58663
1338,58662
1339,58661
1340,58660
1341,58659
1342,58658
1343,58657
1344,58656
1345,58655
1346,58654
1347,58653
1348,58652
1349,58651
1350,58650
1351,58649
1352,58648
1353,58647
1354,58646
1355,58645
1356,58644
1357,58643
1358,58642
1359,58641
1360,58640
1361,58639
1362,58638
1363,58637
1364,58636
1365,58635
1366,58634
1367,58633
1368,58632
1369,58631
1370,58630
1371,58629
